id,competition_id,match_date,team1,team2,score,link,link_complete,parsed,parse_date,country_id,name,ID,country_name,link_match,competition_name
"498","1","2013-09-05"," Hertha Berlin"," Aue","1-3","intl/club-friendlies","http://www.livescore.com/soccer/intl/club-friendlies","1","2013-10-26 16:07:05","243","Club Friendlies","243","World","http://www.livescore.com/soccer/intl/club-friendlies/hertha-berlin-vs-aue/1-1578247/","Club Friendlies"
"499","1","2013-09-05"," Biel"," Lausanne","1-0","intl/club-friendlies","http://www.livescore.com/soccer/intl/club-friendlies","1","2013-10-26 16:07:05","243","Club Friendlies","243","World","http://www.livescore.com/soccer/intl/club-friendlies/biel-vs-lausanne/1-1578237/","Club Friendlies"
"500","1","2013-09-05"," Kaiserslautern"," Pogon Szczecin","1-2","intl/club-friendlies","http://www.livescore.com/soccer/intl/club-friendlies","1","2013-10-26 16:07:05","243","Club Friendlies","243","World","http://www.livescore.com/soccer/intl/club-friendlies/kaiserslautern-vs-pogon-szczecin/1-1578248/","Club Friendlies"
"501","1","2013-09-05"," St. Pauli"," Werder Bremen","4-1","intl/club-friendlies","http://www.livescore.com/soccer/intl/club-friendlies","1","2013-10-26 16:07:05","243","Club Friendlies","243","World","http://www.livescore.com/soccer/intl/club-friendlies/st-pauli-vs-werder-bremen/1-1578249/","Club Friendlies"
"502","1","2013-09-05"," Espanyol"," West Ham United","0-1","intl/club-friendlies","http://www.livescore.com/soccer/intl/club-friendlies","1","2013-10-26 16:07:05","243","Club Friendlies","243","World","http://www.livescore.com/soccer/intl/club-friendlies/espanyol-vs-west-ham-united/1-1578250/","Club Friendlies"
"512","9","2013-09-05"," Dinamo Briansk"," Sokol Saratov","2-2","russia/2-division-center","http://www.livescore.com/soccer/russia/2-division-center","1","2013-10-26 16:07:05","179","2. Division Center","179","Russian Federation","http://www.livescore.com/soccer/russia/2-division-center/dinamo-briansk-vs-sokol-saratov/1-1521967/","2. Division Center"
"515","22","2013-09-05"," Portuguesa"," Ponte Preta","2-1","brazil/serie-a-brasileiro","http://www.livescore.com/soccer/brazil/serie-a-brasileiro","1","2013-10-26 16:07:05","32","Serie A","32","Brazil","http://www.livescore.com/soccer/brazil/serie-a-brasileiro/portuguesa-vs-ponte-preta/1-1431867/","Serie A"
"516","22","2013-09-05"," Atletico MG"," Fluminense","2-2","brazil/serie-a-brasileiro","http://www.livescore.com/soccer/brazil/serie-a-brasileiro","1","2013-10-26 16:07:05","32","Serie A","32","Brazil","http://www.livescore.com/soccer/brazil/serie-a-brasileiro/atletico-mg-vs-fluminense/1-1431865/","Serie A"
"517","22","2013-09-05"," Bahia"," Cruzeiro","1-3","brazil/serie-a-brasileiro","http://www.livescore.com/soccer/brazil/serie-a-brasileiro","1","2013-10-26 16:07:05","32","Serie A","32","Brazil","http://www.livescore.com/soccer/brazil/serie-a-brasileiro/bahia-vs-cruzeiro/1-1431862/","Serie A"
"518","22","2013-09-05"," Internacional"," Corinthians","1-0","brazil/serie-a-brasileiro","http://www.livescore.com/soccer/brazil/serie-a-brasileiro","1","2013-10-26 16:07:05","32","Serie A","32","Brazil","http://www.livescore.com/soccer/brazil/serie-a-brasileiro/internacional-vs-corinthians/1-1431863/","Serie A"
"519","22","2013-09-05"," Botafogo RJ"," Coritiba","3-1","brazil/serie-a-brasileiro","http://www.livescore.com/soccer/brazil/serie-a-brasileiro","1","2013-10-26 16:07:05","32","Serie A","32","Brazil","http://www.livescore.com/soccer/brazil/serie-a-brasileiro/botafogo-rj-vs-coritiba/1-1431860/","Serie A"
"505","30","2013-09-05"," SKA-Energiya"," Khimik Dzerzhinsk","1-1","russia/1-division","http://www.livescore.com/soccer/russia/1-division","1","2013-10-26 16:07:05","179","1. Division","179","Russian Federation","http://www.livescore.com/soccer/russia/1-division/ska-energiya-vs-khimik-dzerzhinsk/1-1477173/","1. Division"
"506","30","2013-09-05"," FC Yenisey Krasnoyarsk"," FC Ufa","3-1","russia/1-division","http://www.livescore.com/soccer/russia/1-division","1","2013-10-26 16:07:05","179","1. Division","179","Russian Federation","http://www.livescore.com/soccer/russia/1-division/fc-yenisey-krasnoyarsk-vs-fc-ufa/1-1477172/","1. Division"
"507","30","2013-09-05"," Sibir Novosibirsk"," Angusht Nazran","1-1","russia/1-division","http://www.livescore.com/soccer/russia/1-division","1","2013-10-26 16:07:05","179","1. Division","179","Russian Federation","http://www.livescore.com/soccer/russia/1-division/sibir-novosibirsk-vs-angusht-nazran/1-1477171/","1. Division"
"508","30","2013-09-05"," Gazovik Orenburg"," Shinnik Yaroslavl","2-0","russia/1-division","http://www.livescore.com/soccer/russia/1-division","1","2013-10-26 16:07:05","179","1. Division","179","Russian Federation","http://www.livescore.com/soccer/russia/1-division/gazovik-orenburg-vs-shinnik-yaroslavl/1-1477174/","1. Division"
"509","30","2013-09-05"," Spartak Nalchik"," FC Salyut Belgorod","1-0","russia/1-division","http://www.livescore.com/soccer/russia/1-division","1","2013-10-26 16:07:05","179","1. Division","179","Russian Federation","http://www.livescore.com/soccer/russia/1-division/spartak-nalchik-vs-fc-salyut-belgorod/1-1477178/","1. Division"
"510","30","2013-09-05"," FC Rotor Volgograd"," Luch Energiya Vladivostok","0-2","russia/1-division","http://www.livescore.com/soccer/russia/1-division","1","2013-10-26 16:07:05","179","1. Division","179","Russian Federation","http://www.livescore.com/soccer/russia/1-division/fc-rotor-volgograd-vs-luch-energiya-vladivostok/1-1477175/","1. Division"
"511","30","2013-09-05"," Torpedo Moscow"," Baltika","1-0","russia/1-division","http://www.livescore.com/soccer/russia/1-division","1","2013-10-26 16:07:05","179","1. Division","179","Russian Federation","http://www.livescore.com/soccer/russia/1-division/torpedo-moscow-vs-baltika/1-1477176/","1. Division"
"513","31","2013-09-05"," Sakhalin"," Sibir Novosibirsk II","5-0","russia/2-division-east","http://www.livescore.com/soccer/russia/2-division-east","1","2013-10-26 16:07:05","179","2. Division East","179","Russian Federation","http://www.livescore.com/soccer/russia/2-division-east/sakhalin-vs-sibir-novosibirsk-ii/1-1517221/","2. Division East"
"514","31","2013-09-05"," Yakutiya Yakutsk"," Radian-Baykal","2-2","russia/2-division-east","http://www.livescore.com/soccer/russia/2-division-east","1","2013-10-26 16:07:05","179","2. Division East","179","Russian Federation","http://www.livescore.com/soccer/russia/2-division-east/yakutiya-yakutsk-vs-radian-baykal/1-1517223/","2. Division East"
"527","40","2013-09-05"," Gostaresh Foolad FC"," Esteghlal Khuzestan","1-1","iran/persian-gulf-league","http://www.livescore.com/soccer/iran/persian-gulf-league","1","2013-10-26 16:07:05","103","Persian Gulf League","103","Iran, Islamic Republic of","http://www.livescore.com/soccer/iran/persian-gulf-league/gostaresh-foolad-fc-vs-esteghlal-khuzestan/1-1513316/","Persian Gulf League"
"528","40","2013-09-05"," Fajr Sepasi"," Damash","2-2","iran/persian-gulf-league","http://www.livescore.com/soccer/iran/persian-gulf-league","1","2013-10-26 16:07:05","103","Persian Gulf League","103","Iran, Islamic Republic of","http://www.livescore.com/soccer/iran/persian-gulf-league/fajr-sepasi-vs-damash/1-1513311/","Persian Gulf League"
"529","40","2013-09-05"," Naft Tehran"," Mes Kerman","1-0","iran/persian-gulf-league","http://www.livescore.com/soccer/iran/persian-gulf-league","1","2013-10-26 16:07:05","103","Persian Gulf League","103","Iran, Islamic Republic of","http://www.livescore.com/soccer/iran/persian-gulf-league/naft-tehran-vs-mes-kerman/1-1513313/","Persian Gulf League"
"530","40","2013-09-05"," Saba Qom"," Teraktor Sazi","1-3","iran/persian-gulf-league","http://www.livescore.com/soccer/iran/persian-gulf-league","1","2013-10-26 16:07:05","103","Persian Gulf League","103","Iran, Islamic Republic of","http://www.livescore.com/soccer/iran/persian-gulf-league/saba-qom-vs-teraktor-sazi/1-1513318/","Persian Gulf League"
"531","40","2013-09-05"," Foolad Khuzestan"," Zob Ahan","1-0","iran/persian-gulf-league","http://www.livescore.com/soccer/iran/persian-gulf-league","1","2013-10-26 16:07:05","103","Persian Gulf League","103","Iran, Islamic Republic of","http://www.livescore.com/soccer/iran/persian-gulf-league/foolad-khuzestan-vs-zob-ahan/1-1513315/","Persian Gulf League"
"532","40","2013-09-05"," Malavan"," Saipa","0-3","iran/persian-gulf-league","http://www.livescore.com/soccer/iran/persian-gulf-league","1","2013-10-26 16:07:05","103","Persian Gulf League","103","Iran, Islamic Republic of","http://www.livescore.com/soccer/iran/persian-gulf-league/malavan-vs-saipa/1-1513317/","Persian Gulf League"
"494","62","2013-09-05"," Bangladesh"," Pakistan","1-2","intl/friendly","http://www.livescore.com/soccer/intl/friendly","1","2013-10-26 16:07:05","243","Friendly","243","World","http://www.livescore.com/soccer/intl/friendly/bangladesh-vs-pakistan/1-1549555/","Friendly"
"495","62","2013-09-05"," Nepal"," India","2-1","intl/friendly","http://www.livescore.com/soccer/intl/friendly","1","2013-10-26 16:07:05","243","Friendly","243","World","http://www.livescore.com/soccer/intl/friendly/nepal-vs-india/1-1549553/","Friendly"
"496","62","2013-09-05"," Qatar"," Mauritius","3-0","intl/friendly","http://www.livescore.com/soccer/intl/friendly","1","2013-10-26 16:07:05","243","Friendly","243","World","http://www.livescore.com/soccer/intl/friendly/qatar-vs-mauritius/1-1563812/","Friendly"
"497","62","2013-09-05"," Saudi Arabia"," New Zealand","0-1","intl/friendly","http://www.livescore.com/soccer/intl/friendly","1","2013-10-26 16:07:05","243","Friendly","243","World","http://www.livescore.com/soccer/intl/friendly/saudi-arabia-vs-new-zealand/1-1526750/","Friendly"
"520","83","2013-09-05"," Itagui"," Patriotas","2-0","colombia/liga-postobon-i-clausura","http://www.livescore.com/soccer/colombia/liga-postobon-i-clausura","1","2013-10-26 16:07:05","49","Liga Postobón I Clausura","49","Colombia","http://www.livescore.com/soccer/colombia/liga-postobon-i-clausura/itagui-vs-patriotas/1-1500903/","Liga Postobón I Clausura"
"522","85","2013-09-05"," Seattle Sounders FC"," CD Chivas USA","1-0","usa/mls","http://www.livescore.com/soccer/usa/mls","1","2013-10-26 16:07:05","1","Major League Soccer","1","United States","http://www.livescore.com/soccer/usa/mls/seattle-sounders-fc-vs-cd-chivas-usa/1-1394643/","Major League Soccer"
"526","86","2013-09-05"," Roasso Kumamoto"," Giravanz Kitakyushu","1-2","japan/j-league-2","http://www.livescore.com/soccer/japan/j-league-2","1","2013-10-26 16:07:05","109","J. League 2","109","Japan","http://www.livescore.com/soccer/japan/j-league-2/roasso-kumamoto-vs-giravanz-kitakyushu/1-1408668/","J. League 2"
"503","233","2013-09-05"," Norrby"," Hammarby","0-2","sweden/cup","http://www.livescore.com/soccer/sweden/cup","1","2013-10-26 16:07:05","207","Cup","207","Sweden","http://www.livescore.com/soccer/sweden/cup/norrby-vs-hammarby/1-1548320/","Cup"
"504","233","2013-09-05"," Sirius"," IK Brage","4-1","sweden/cup","http://www.livescore.com/soccer/sweden/cup","1","2013-10-26 16:07:05","207","Cup","207","Sweden","http://www.livescore.com/soccer/sweden/cup/sirius-vs-ik-brage/1-1548341/","Cup"
"521","376","2013-09-05"," Atletico Nacional"," Pasto","1-0","colombia/copa-play-off","http://www.livescore.com/soccer/colombia/copa-play-off","1","2013-10-26 16:07:05","49","Copa Play-Off","49","Colombia","http://www.livescore.com/soccer/colombia/copa-play-off/atletico-nacional-vs-pasto/2-1310165372/","Copa Play-Off"
"523","413","2013-09-05"," Club Sport Herediano"," Belen Siglo XXI","1-0","costa-rica/apertura","http://www.livescore.com/soccer/costa-rica/apertura","1","2013-10-26 16:07:05","54","Primera Division - Apertura","54","Costa Rica","http://www.livescore.com/soccer/costa-rica/apertura/club-sport-herediano-vs-belen-siglo-xxi/1-1507951/","Primera Division - Apertura"
"524","423","2013-09-05"," Club Xelaju"," Iztapa","3-2","guatemala/liga-nacional-apertura","http://www.livescore.com/soccer/guatemala/liga-nacional-apertura","1","2013-10-26 16:07:05","90","Liga Nacional Apertura","90","Guatemala","http://www.livescore.com/soccer/guatemala/liga-nacional-apertura/club-xelaju-vs-iztapa/1-1487145/","Liga Nacional Apertura"
"525","423","2013-09-05"," Deportivo Marquense"," Universidad SC","1-0","guatemala/liga-nacional-apertura","http://www.livescore.com/soccer/guatemala/liga-nacional-apertura","1","2013-10-26 16:07:05","90","Liga Nacional Apertura","90","Guatemala","http://www.livescore.com/soccer/guatemala/liga-nacional-apertura/deportivo-marquense-vs-universidad-sc/1-1487150/","Liga Nacional Apertura"
"482","516","2013-09-05"," Lithuania U21"," Finland U21","0-1","euro-under-21/qualification-group-1","http://www.livescore.com/soccer/euro-under-21/qualification-group-1","1","2013-10-26 16:07:04","243","Qualification Group 1","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-1/lithuania-u21-vs-finland-u21/1-1424621/","Qualification Group 1"
"483","516","2013-09-05"," England U21"," Moldova U21","1-0","euro-under-21/qualification-group-1","http://www.livescore.com/soccer/euro-under-21/qualification-group-1","1","2013-10-26 16:07:04","243","Qualification Group 1","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-1/england-u21-vs-moldova-u21/1-1424623/","Qualification Group 1"
